Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Avengers: Endgame,2797800564,858373000,1939427564,2019.csv,2019,30.7%,69.3%
2,Avengers: Infinity War,2048359754,678815482,1369544272,2018.csv,2018,33.1%,66.9%
3,The Lion King,1656943394,543638043,1113305351,2019.csv,2019,32.8%,67.2%
4,Frozen II,1450026933,477373578,972653355,2019.csv,2019,32.9%,67.1%
5,Black Panther,1346913161,700059566,646853595,2018.csv,2018,52%,48%
6,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018.csv,2018,31.9%,68.1%
7,Incredibles 2,1242805359,608581744,634223615,2018.csv,2018,49%,51%
8,Aquaman,1148461807,335061807,813400000,2018.csv,2018,29.2%,70.8%
9,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019,34.5%,65.5%
10,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019,37.8%,62.2%
11,Joker,1074251311,335451311,738800000,2019.csv,2019,31.2%,68.8%
12,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019,48%,52%
13,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019,40.4%,59.6%
14,Aladdin,1050693953,355559216,695134737,2019.csv,2019,33.8%,66.2%
15,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018,24%,76%
16,Venom,856085151,213515506,642569645,2018.csv,2018,24.9%,75.1%
17,Jumanji: The Next Level,796575993,316831246,479744747,2019.csv,2019,39.8%,60.2%
18,Mission: Impossible - Fallout,791115104,220159104,570956000,2018.csv,2018,27.8%,72.2%
19,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,2019.csv,2019,22.9%,77.1%
20,Deadpool 2,734546611,318491426,416055185,2018.csv,2018,43.4%,56.6%
21,Ne Zha,726063471,3695533,722367938,2019.csv,2019,0.5%,99.5%
22,The Wandering Earth,699760773,5875487,693885286,2019.csv,2019,0.8%,99.2%
23,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018.csv,2018,24.4%,75.6%
24,Ant-Man and the Wasp,622674139,216648740,406025399,2018.csv,2018,34.8%,65.2%
25,Ready Player One,582890172,137690172,445200000,2018.csv,2018,23.6%,76.4%
26,Operation Red Sea,579330426,1543547,577786879,2018.csv,2018,0.3%,99.7%
27,Detective Chinatown 2,544185156,1983984,542201172,2018.csv,2018,0.4%,99.6%
28,The Meg,530243742,145443742,384800000,2018.csv,2018,27.4%,72.6%
29,Ralph Breaks the Internet,529323962,201091711,328232251,2018.csv,2018,38%,62%
30,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018.csv,2018,31.7%,68.3%
31,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019.csv,2019,30.8%,69.2%
32,Dr. Seuss' The Grinch,511595957,270620950,240975007,2018.csv,2018,52.9%,47.1%
33,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019.csv,2019,23.2%,76.8%
34,It Chapter Two,473093228,211593228,261500000,2019.csv,2019,44.7%,55.3%
35,Bumblebee,467989645,127195589,340794056,2018.csv,2018,27.2%,72.8%
36,"My People, My Country",450064993,2356683,447708310,2019.csv,2019,0.5%,99.5%
37,A Star Is Born,436188866,215288866,220900000,2018.csv,2018,49.4%,50.6%
38,Pokémon Detective Pikachu,433005346,144105346,288900000,2019.csv,2019,33.3%,66.7%
39,The Secret Life of Pets 2,430051293,158874395,271176898,2019.csv,2019,36.9%,63.1%
40,Rampage,428028233,101028233,327000000,2018.csv,2018,23.6%,76.4%
41,Bad Boys for Life,425514702,204417855,221096847,2020.csv,2020,48%,52%
42,The Captain,416953262,706572,416246690,2019.csv,2019,0.2%,99.8%
43,Alita: Battle Angel,404852543,85710210,319142333,2019.csv,2019,21.2%,78.8%
44,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018.csv,2018,30.5%,69.5%
45,Solo: A Star Wars Story,392924807,213767512,179157295,2018.csv,2018,54.4%,45.6%
46,Godzilla: King of the Monsters,386600138,110500138,276100000,2019.csv,2019,28.6%,71.4%
47,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018.csv,2018,50.7%,49.3%
48,Once Upon a Time... in Hollywood,374343626,142502728,231840898,2019.csv,2019,38.1%,61.9%
49,Fifty Shades Freed,371985018,100407760,271577258,2018.csv,2018,27%,73%
50,1917,368027644,159227644,208800000,2019.csv,2019,43.3%,56.7%
51,Shazam!,365971656,140371656,225600000,2019.csv,2019,38.4%,61.6%
52,The Nun,365550119,117450119,248100000,2018.csv,2018,32.1%,67.9%
53,Monster Hunt 2,361682618,706153,360976465,2018.csv,2018,0.2%,99.8%
54,Dumbo,353284621,114766307,238518314,2019.csv,2019,32.5%,67.5%
55,Peter Rabbit,351266433,115253424,236013009,2018.csv,2018,32.8%,67.2%
56,Mary Poppins Returns,349537494,171958438,177579056,2018.csv,2018,49.2%,50.8%
57,A Quiet Place,340939361,188024361,152915000,2018.csv,2018,55.1%,44.9%
58,Green Book,326750920,85080171,241670749,2018.csv,2018,26%,74%
59,John Wick: Chapter 3 - Parabellum,326709727,171015687,155694040,2019.csv,2019,52.3%,47.7%
60,Knives Out,311553190,165363234,146189956,2019.csv,2019,53.1%,46.9%
61,Sonic the Hedgehog,306766470,146066470,160700000,2020.csv,2020,47.6%,52.4%
62,Skyscraper,304868961,68420120,236448841,2018.csv,2018,22.4%,77.6%
63,Ocean's Eight,297718711,140218711,157500000,2018.csv,2018,47.1%,52.9%
64,Pacific Rim: Uprising,290930148,59874525,231055623,2018.csv,2018,20.6%,79.4%
