Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
1,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018.csv,2018
2,Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%,2018.csv,2018
3,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.9%,"$890,748,184",68.1%,2018.csv,2018
4,Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%,2018.csv,2018
5,Aquaman,"$1,148,461,807","$335,061,807",29.2%,"$813,400,000",70.8%,2018.csv,2018
6,Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%,2018.csv,2018
7,Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%,2018.csv,2018
8,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.8%,"$570,956,000",72.2%,2018.csv,2018
9,Deadpool 2,"$734,546,611","$318,491,426",43.4%,"$416,055,185",56.6%,2018.csv,2018
10,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",24.4%,"$495,300,000",75.6%,2018.csv,2018
11,Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.8%,"$406,025,399",65.2%,2018.csv,2018
12,Ready Player One,"$582,890,172","$137,690,172",23.6%,"$445,200,000",76.4%,2018.csv,2018
13,Operation Red Sea,"$579,330,426","$1,543,547",0.3%,"$577,786,879",99.7%,2018.csv,2018
14,Detective Chinatown 2,"$544,185,156","$1,983,984",0.4%,"$542,201,172",99.6%,2018.csv,2018
15,The Meg,"$530,243,742","$145,443,742",27.4%,"$384,800,000",72.6%,2018.csv,2018
16,Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%,2018.csv,2018
17,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%,2018.csv,2018
18,Dr. Seuss' The Grinch,"$511,595,957","$270,620,950",52.9%,"$240,975,007",47.1%,2018.csv,2018
19,Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%,2018.csv,2018
20,A Star Is Born,"$436,188,866","$215,288,866",49.4%,"$220,900,000",50.6%,2018.csv,2018
21,Rampage,"$428,028,233","$101,028,233",23.6%,"$327,000,000",76.4%,2018.csv,2018
22,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.5%,"$274,409,771",69.5%,2018.csv,2018
23,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%,2018.csv,2018
24,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.7%,"$185,299,521",49.3%,2018.csv,2018
25,Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%,2018.csv,2018
26,The Nun,"$365,550,119","$117,450,119",32.1%,"$248,100,000",67.9%,2018.csv,2018
27,Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%,2018.csv,2018
28,Peter Rabbit,"$351,266,433","$115,253,424",32.8%,"$236,013,009",67.2%,2018.csv,2018
29,Mary Poppins Returns,"$349,537,494","$171,958,438",49.2%,"$177,579,056",50.8%,2018.csv,2018
30,A Quiet Place,"$340,939,361","$188,024,361",55.1%,"$152,915,000",44.9%,2018.csv,2018
31,Green Book,"$326,750,920","$85,080,171",26%,"$241,670,749",74%,2018.csv,2018
32,Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%,2018.csv,2018
33,Ocean's Eight,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%,2018.csv,2018
